Регион,Округ,Код участка,Адрес,Абаев Герман Борисович,Ящук Александр Михайлович,Лоев Семён Владимирович,Байр Марк Михайлович,Бредихин Антон Викторович,Данилова Анна Геннадьевна,Бабошина Алина Олеговна,ср
Москва,Список,77.071.9,"город Москва, улица Вилиса Лациса, дом 33, корпус 2 (ГБОУ СОШ №1399)",163,2,163,163,163,1,163,"116,8571429"
Москва,Список,77.052.5,"город Москва, Стандартная улица, дом 4А (Колледж автомобильного транспорта № 9)",1,136,136,136,136,136,136,"116,7142857"
Москва,Список,77.049.9,"город Москва, Петрозаводская улица, дом 19А (ГБОУ г.Москвы «Школа № 597 «Новое поколение»)",160,1,161,161,159,0,161,"114,7142857"
Москва,Список,77.040.8,"город Москва, Конаковский проезд, дом 5 (школа № 1315, 1 этаж)",159,0,159,159,159,0,160,"113,7142857"
Москва,Список,77.049.18,"город Москва, Клинская улица, дом 16А (ГБОУ г.Москвы «Школа № 1474»)",150,0,161,161,161,0,161,"113,4285714"
Москва,Список,77.115.22,"город Москва, Кустанайская улица, дом 10, корпус 2 (ГБОУ Школа № 2116)",156,1,156,156,155,1,156,"111,5714286"
Москва,Список,77.044.9,"город Москва, Беломорская улица, дом 26 (ГБУ ""Жилищник района Левобережный"")",156,0,155,155,155,0,156,111
Москва,Список,77.054.18,"город Москва, улица Конёнкова, дом 8А (ГБОУ г.Москвы ""Школа ""Многопрофильный комплекс Бибирево"", шк.отд. №1)",110,110,111,111,111,111,111,"110,7142857"
Москва,Список,77.052.1,"город Москва, Путевой проезд, дом 10А (ГБОУ Школа № 305)",0,128,128,128,128,128,128,"109,7142857"
Москва,Список,77.031.34,"город Москва, город Зеленоград, корпус 1820 (нежилое помещение №5)",153,1,152,153,153,1,154,"109,5714286"
Москва,Список,77.040.16,"город Москва, Флотская улица, дом 64 (гимназия №1583, 1 этаж)",156,0,152,156,144,1,156,"109,2857143"
Москва,Список,77.061.2,"город Москва, Алтуфьевское шоссе, дом 13, корпус 2 (ООО ""РСУ ЖилПромСервис"")",2,124,124,124,124,124,125,"106,7142857"
Москва,Список,77.040.3,"город Москва, 3-й Лихачёвский переулок, дом 2А (школа № 727)",149,0,149,148,149,0,150,"106,4285714"
Москва,Список,77.122.22,"город Москва, Севанская улица, дом 6 (ГБОУ города Москвы ""Школа № 870"")",149,1,147,147,143,5,149,"105,8571429"
Москва,Список,77.044.3,"город Москва, Ленинградское шоссе, дом 94А (ГБОУ СОШ № 167 имени Маршала Л.А. Говорова)",148,0,147,147,146,0,148,"105,1428571"
Москва,Список,77.044.4,"город Москва, Валдайский проезд, дом 8 (ГБУК города Москвы ""Клуб ""Ладога"")",139,1,151,149,145,1,150,"105,1428571"
Москва,Список,77.071.38,"город Москва, улица Свободы, дом 91 (ГБУК ДК ""Алые паруса"")",148,0,147,147,147,0,147,"105,1428571"
Москва,Список,77.038.12,"город Москва, улица Клары Цеткин, дом 27 (ГБПОУ г. Москвы ""Политехнический колледж им. Н.Н. Годовикова"")",149,0,142,149,146,0,149,105
Москва,Список,77.031.21,"город Москва, город Зеленоград, корпус 1520 (нежилое помещение №1)",125,119,121,122,121,2,119,"104,1428571"
Москва,Список,77.064.20,"город Москва, Широкая улица, дом 21А (Структурное подразделение №1 ГБОУ Школа № 283)",86,148,87,86,84,147,86,"103,4285714"
Москва,Список,77.038.14,"город Москва, улица Космонавта Волкова, дом 23 (ГБОУ г. Москвы ""Гимназия №1576"")",145,3,145,145,140,1,144,"103,2857143"
Москва,Список,77.049.22,"город Москва, Зеленоградская улица, дом 33Б (ГБОУ г.Москвы ""Школа №1474"")",144,0,144,144,144,0,145,103
Москва,Список,77.044.11,"город Москва, Смольная улица, дом 39 (Совет ветеранов)",146,0,140,145,136,1,146,102
Москва,Список,77.031.39,"город Москва, город Зеленоград, корпус 2010 (нежилое помещение №2)",140,2,140,140,141,6,140,"101,2857143"
Москва,Список,77.045.3,"город Москва, Синявинская улица, дом 11А (ГБОУ Школа Перспектива)",144,1,140,141,142,0,140,"101,1428571"
Москва,Список,77.049.16,"город Москва, Клинская улица, дом 24 (ГБОУ г.Москвы «Школа № 1474»)",142,1,140,142,140,1,142,"101,1428571"
